NO,KD_CAB,JENIS_KANTOR,KLASIFIKASI,NAMA_KANTOR,STATUS
170,142,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SIMALINGKAR,AKTIF
171,147,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TANJUNG ANOM,AKTIF
172,153,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS NAMO RAMBE,AKTIF
173,156,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS SIMPANG KONGSI,AKTIF
174,164,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM JOHOR,AKTIF
175,231,CABANG,CABANG KELAS 3,CABANG GUNUNG TUA,AKTIF
176,351,CABANG,CABANG KELAS 3,CABANG MELAWAI,AKTIF
177,360,CABANG,CABANG KELAS 3,CABANG PEMATANG RAYA,AKTIF
178,225,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SUDIRMAN RAYA,AKTIF
179,224,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SARIBUDOLOK,AKTIF
180,201,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SIDAMANIK,AKTIF
181,221,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM PERDAGANGAN,AKTIF
182,223,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PARAPAT,AKTIF
183,361,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TIGARUNGGU,AKTIF
184,362,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 4,CAPEM MPP KABUPATEN SIMALUNGUN,AKTIF
185,234,CABANG,CABANG KELAS 3,CABANG SIBUHUAN,AKTIF
186,235,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SOSA,AKTIF
187,246,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS BINANGA,AKTIF
188,249,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM HUTARAJA TINGGI,AKTIF
189,262,CABANG,CABANG KELAS 2,CABANG LIMA PULUH,AKTIF
190,261,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM INDRAPURA,AKTIF
191,268,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TANJUNG TIRAM,AKTIF
192,306,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM KEBUN KOPI,AKTIF
193,202,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS PAGURAWAN,AKTIF
194,203,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS SEI LANGGEI,AKTIF
195,375,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 4,CAPEM MPP KABUPATEN BATUBARA,AKTIF
196,211,CABANG,CABANG KELAS 3,CABANG AEK KANOPAN,AKTIF
197,215,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM KAMPUNG PAJAK,AKTIF
198,374,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 4,CAPEM MPP KABUPATEN LABUHAN BATU UTARA,AKTIF
199,212,CABANG,CABANG KELAS 3,CABANG KOTA PINANG,AKTIF
200,216,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM CIKAMPAK,AKTIF
201,217,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM LANGGAPAYUNG,AKTIF
202,279,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TANJUNG MEDAN,AKTIF
203,291,CABANG,CABANG KELAS 3,CABANG PANDAN,AKTIF
204,292,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BARUS,AKTIF
205,294,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM MANDUAMAS,AKTIF
206,295,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PINANG SORI,AKTIF
207,296,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM KOLANG,AKTIF
208,233,CABANG,CABANG KELAS 3,CABANG SIPIROK,AKTIF
209,232,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BATANG TORU,AKTIF
210,239,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS SAYUR MATINGGI,AKTIF
211,259,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SAIPAR DOLOK HOLE,AKTIF
212,370,CABANG,CABANG KELAS 3,CABANG BATAM,AKTIF
213,380,CABANG,CABANG KELAS 3,CABANG PEKANBARU,AKTIF
214,601,KANTOR PUSAT,KANTOR PUSAT,UNIT USAHA SYARIAH,AKTIF
215,610,CABANG SYARIAH,CABANG SYARIAH KELAS 3,CABANG SYARIAH MEDAN,AKTIF
